Preamble,Stimulus,True_Category,Item,Rank,Category
"Following is a list that contains a number of tools. After the list, a tool will be judged as either present or absent in the list. If the list contains the tool, answer with present. If the list does not contain the tool, answer with absent. The list of tools is: hinge, crane, drill, file, stapler, apron, glue, bolt, cement, hammer, wedge, bench, sandpaper, brush, anvil, pliers, sander, plier, pencil, nail, varnish, sledge hammer, paintbrush, tape measure, chalk, scissor, wood, ladder, T-square, plumb line, saw. According to the list, pliers are present. According to the list, tape measure is absent. According to the list, saw is ",present,present,saw,1,tool
"Following is a list that contains a number of tools. After the list, a tool will be judged as either present or absent in the list. If the list contains the tool, answer with present. If the list does not contain the tool, answer with absent. The list of tools is: hinge, crane, drill, file, stapler, apron, glue, bolt, cement, hammer, wedge, bench, sandpaper, brush, anvil, pliers, sander, plier, pencil, nail, varnish, sledge hammer, paintbrush, tape measure, chalk, scissor, wood, ladder, T-square, plumb line, saw. According to the list, pliers are present. According to the list, tape measure is absent. According to the list, hammer is ",present,present,hammer,2,tool
"Following is a list that contains a number of tools. After the list, a tool will be judged as either present or absent in the list. If the list contains the tool, answer with present. If the list does not contain the tool, answer with absent. The list of tools is: hinge, crane, drill, file, stapler, apron, glue, bolt, cement, hammer, wedge, bench, sandpaper, brush, anvil, pliers, sander, plier, pencil, nail, varnish, sledge hammer, paintbrush, tape measure, chalk, scissor, wood, ladder, T-square, plumb line, saw. According to the list, pliers are present. According to the list, tape measure is absent. According to the list, ruler is ",present,absent,ruler,3,tool
"Following is a list that contains a number of tools. After the list, a tool will be judged as either present or absent in the list. If the list contains the tool, answer with present. If the list does not contain the tool, answer with absent. The list of tools is: hinge, crane, drill, file, stapler, apron, glue, bolt, cement, hammer, wedge, bench, sandpaper, brush, anvil, pliers, sander, plier, pencil, nail, varnish, sledge hammer, paintbrush, tape measure, chalk, scissor, wood, ladder, T-square, plumb line, saw. According to the list, pliers are present. According to the list, tape measure is absent. According to the list, screwdriver is ",present,absent,screwdriver,4,tool
"Following is a list that contains a number of tools. After the list, a tool will be judged as either present or absent in the list. If the list contains the tool, answer with present. If the list does not contain the tool, answer with absent. The list of tools is: hinge, crane, drill, file, stapler, apron, glue, bolt, cement, hammer, wedge, bench, sandpaper, brush, anvil, pliers, sander, plier, pencil, nail, varnish, sledge hammer, paintbrush, tape measure, chalk, scissor, wood, ladder, T-square, plumb line, saw. According to the list, pliers are present. According to the list, tape measure is absent. According to the list, drill is ",present,present,drill,5,tool
"Following is a list that contains a number of tools. After the list, a tool will be judged as either present or absent in the list. If the list contains the tool, answer with present. If the list does not contain the tool, answer with absent. The list of tools is: hinge, crane, drill, file, stapler, apron, glue, bolt, cement, hammer, wedge, bench, sandpaper, brush, anvil, pliers, sander, plier, pencil, nail, varnish, sledge hammer, paintbrush, tape measure, chalk, scissor, wood, ladder, T-square, plumb line, saw. According to the list, pliers are present. According to the list, tape measure is absent. According to the list, nail is ",present,present,nail,6,tool
"Following is a list that contains a number of tools. After the list, a tool will be judged as either present or absent in the list. If the list contains the tool, answer with present. If the list does not contain the tool, answer with absent. The list of tools is: hinge, crane, drill, file, stapler, apron, glue, bolt, cement, hammer, wedge, bench, sandpaper, brush, anvil, pliers, sander, plier, pencil, nail, varnish, sledge hammer, paintbrush, tape measure, chalk, scissor, wood, ladder, T-square, plumb line, saw. According to the list, pliers are present. According to the list, tape measure is absent. According to the list, tape measure is ",present,present,tape measure,7,tool
"Following is a list that contains a number of tools. After the list, a tool will be judged as either present or absent in the list. If the list contains the tool, answer with present. If the list does not contain the tool, answer with absent. The list of tools is: hinge, crane, drill, file, stapler, apron, glue, bolt, cement, hammer, wedge, bench, sandpaper, brush, anvil, pliers, sander, plier, pencil, nail, varnish, sledge hammer, paintbrush, tape measure, chalk, scissor, wood, ladder, T-square, plumb line, saw. According to the list, pliers are present. According to the list, tape measure is absent. According to the list, sawhorse is ",present,absent,sawhorse,8,tool
"Following is a list that contains a number of tools. After the list, a tool will be judged as either present or absent in the list. If the list contains the tool, answer with present. If the list does not contain the tool, answer with absent. The list of tools is: hinge, crane, drill, file, stapler, apron, glue, bolt, cement, hammer, wedge, bench, sandpaper, brush, anvil, pliers, sander, plier, pencil, nail, varnish, sledge hammer, paintbrush, tape measure, chalk, scissor, wood, ladder, T-square, plumb line, saw. According to the list, pliers are present. According to the list, tape measure is absent. According to the list, sandpaper is ",present,present,sandpaper,9,tool
"Following is a list that contains a number of tools. After the list, a tool will be judged as either present or absent in the list. If the list contains the tool, answer with present. If the list does not contain the tool, answer with absent. The list of tools is: hinge, crane, drill, file, stapler, apron, glue, bolt, cement, hammer, wedge, bench, sandpaper, brush, anvil, pliers, sander, plier, pencil, nail, varnish, sledge hammer, paintbrush, tape measure, chalk, scissor, wood, ladder, T-square, plumb line, saw. According to the list, pliers are present. According to the list, tape measure is absent. According to the list, sander is ",present,present,sander,10,tool
