Preamble,Stimulus,True_Category,Item,Rank,Category
"Following is a list that contains a number of fruits. After the list, a fruit will be judged as either present or absent in the list. If the list contains the fruit, answer with present. If the list does not contain the fruit, answer with absent. The list of fruits is: nut, kumquat, cranberry, raspberry, watermelon, pickle, tangelo, mango, gooseberry, date, cantaloupe, grapefruit, nectarine, banana, fig, avocado, kiwi, grape, tangerine, olive, prune, black raspberry, melon, apricot, peach, gourd. According to the list, kiwi is present. According to the list, dragon fruit is absent. According to the list, orange is ",present,absent,orange,1,fruits
"Following is a list that contains a number of fruits. After the list, a fruit will be judged as either present or absent in the list. If the list contains the fruit, answer with present. If the list does not contain the fruit, answer with absent. The list of fruits is: nut, kumquat, cranberry, raspberry, watermelon, pickle, tangelo, mango, gooseberry, date, cantaloupe, grapefruit, nectarine, banana, fig, avocado, kiwi, grape, tangerine, olive, prune, black raspberry, melon, apricot, peach, gourd. According to the list, kiwi is present. According to the list, dragon fruit is absent. According to the list, apple is ",present,absent,apple,2,fruits
"Following is a list that contains a number of fruits. After the list, a fruit will be judged as either present or absent in the list. If the list contains the fruit, answer with present. If the list does not contain the fruit, answer with absent. The list of fruits is: nut, kumquat, cranberry, raspberry, watermelon, pickle, tangelo, mango, gooseberry, date, cantaloupe, grapefruit, nectarine, banana, fig, avocado, kiwi, grape, tangerine, olive, prune, black raspberry, melon, apricot, peach, gourd. According to the list, kiwi is present. According to the list, dragon fruit is absent. According to the list, banana is ",present,present,banana,3,fruits
"Following is a list that contains a number of fruits. After the list, a fruit will be judged as either present or absent in the list. If the list contains the fruit, answer with present. If the list does not contain the fruit, answer with absent. The list of fruits is: nut, kumquat, cranberry, raspberry, watermelon, pickle, tangelo, mango, gooseberry, date, cantaloupe, grapefruit, nectarine, banana, fig, avocado, kiwi, grape, tangerine, olive, prune, black raspberry, melon, apricot, peach, gourd. According to the list, kiwi is present. According to the list, dragon fruit is absent. According to the list, peach is ",present,present,peach,4,fruits
"Following is a list that contains a number of fruits. After the list, a fruit will be judged as either present or absent in the list. If the list contains the fruit, answer with present. If the list does not contain the fruit, answer with absent. The list of fruits is: nut, kumquat, cranberry, raspberry, watermelon, pickle, tangelo, mango, gooseberry, date, cantaloupe, grapefruit, nectarine, banana, fig, avocado, kiwi, grape, tangerine, olive, prune, black raspberry, melon, apricot, peach, gourd. According to the list, kiwi is present. According to the list, dragon fruit is absent. According to the list, pear is ",present,absent,pear,5,fruits
"Following is a list that contains a number of fruits. After the list, a fruit will be judged as either present or absent in the list. If the list contains the fruit, answer with present. If the list does not contain the fruit, answer with absent. The list of fruits is: nut, kumquat, cranberry, raspberry, watermelon, pickle, tangelo, mango, gooseberry, date, cantaloupe, grapefruit, nectarine, banana, fig, avocado, kiwi, grape, tangerine, olive, prune, black raspberry, melon, apricot, peach, gourd. According to the list, kiwi is present. According to the list, dragon fruit is absent. According to the list, apricot is ",present,present,apricot,6,fruits
"Following is a list that contains a number of fruits. After the list, a fruit will be judged as either present or absent in the list. If the list contains the fruit, answer with present. If the list does not contain the fruit, answer with absent. The list of fruits is: nut, kumquat, cranberry, raspberry, watermelon, pickle, tangelo, mango, gooseberry, date, cantaloupe, grapefruit, nectarine, banana, fig, avocado, kiwi, grape, tangerine, olive, prune, black raspberry, melon, apricot, peach, gourd. According to the list, kiwi is present. According to the list, dragon fruit is absent. According to the list, tangerine is ",present,present,tangerine,7,fruits
"Following is a list that contains a number of fruits. After the list, a fruit will be judged as either present or absent in the list. If the list contains the fruit, answer with present. If the list does not contain the fruit, answer with absent. The list of fruits is: nut, kumquat, cranberry, raspberry, watermelon, pickle, tangelo, mango, gooseberry, date, cantaloupe, grapefruit, nectarine, banana, fig, avocado, kiwi, grape, tangerine, olive, prune, black raspberry, melon, apricot, peach, gourd. According to the list, kiwi is present. According to the list, dragon fruit is absent. According to the list, plum is ",present,absent,plum,8,fruits
"Following is a list that contains a number of fruits. After the list, a fruit will be judged as either present or absent in the list. If the list contains the fruit, answer with present. If the list does not contain the fruit, answer with absent. The list of fruits is: nut, kumquat, cranberry, raspberry, watermelon, pickle, tangelo, mango, gooseberry, date, cantaloupe, grapefruit, nectarine, banana, fig, avocado, kiwi, grape, tangerine, olive, prune, black raspberry, melon, apricot, peach, gourd. According to the list, kiwi is present. According to the list, dragon fruit is absent. According to the list, grape is ",present,present,grape,9,fruits
"Following is a list that contains a number of fruits. After the list, a fruit will be judged as either present or absent in the list. If the list contains the fruit, answer with present. If the list does not contain the fruit, answer with absent. The list of fruits is: nut, kumquat, cranberry, raspberry, watermelon, pickle, tangelo, mango, gooseberry, date, cantaloupe, grapefruit, nectarine, banana, fig, avocado, kiwi, grape, tangerine, olive, prune, black raspberry, melon, apricot, peach, gourd. According to the list, kiwi is present. According to the list, dragon fruit is absent. According to the list, nectarine is ",present,present,nectarine,10,fruits
