Preamble,Stimulus,True_Category,Item,Rank,Category
"Following is a list that contains a number of fruits. After the list, a fruit will be judged as either present or absent in the list. If the list contains the fruit, answer with present. If the list does not contain the fruit, answer with absent. The list of fruits is: cranberry, honeydew, kiwi, gooseberry, watermelon, peach, lemon, grape, nut, boysenberry, lime, plum, blueberry, nectarine, cherry, pickle, papaya, coconut, squash, black raspberry, pear, guava, pomegranate, mango, tomato, gourd. According to the list, kiwi is present. According to the list, dragon fruit is absent. According to the list, orange is ",present,absent,orange,1,fruits
"Following is a list that contains a number of fruits. After the list, a fruit will be judged as either present or absent in the list. If the list contains the fruit, answer with present. If the list does not contain the fruit, answer with absent. The list of fruits is: cranberry, honeydew, kiwi, gooseberry, watermelon, peach, lemon, grape, nut, boysenberry, lime, plum, blueberry, nectarine, cherry, pickle, papaya, coconut, squash, black raspberry, pear, guava, pomegranate, mango, tomato, gourd. According to the list, kiwi is present. According to the list, dragon fruit is absent. According to the list, apple is ",present,absent,apple,2,fruits
"Following is a list that contains a number of fruits. After the list, a fruit will be judged as either present or absent in the list. If the list contains the fruit, answer with present. If the list does not contain the fruit, answer with absent. The list of fruits is: cranberry, honeydew, kiwi, gooseberry, watermelon, peach, lemon, grape, nut, boysenberry, lime, plum, blueberry, nectarine, cherry, pickle, papaya, coconut, squash, black raspberry, pear, guava, pomegranate, mango, tomato, gourd. According to the list, kiwi is present. According to the list, dragon fruit is absent. According to the list, banana is ",present,absent,banana,3,fruits
"Following is a list that contains a number of fruits. After the list, a fruit will be judged as either present or absent in the list. If the list contains the fruit, answer with present. If the list does not contain the fruit, answer with absent. The list of fruits is: cranberry, honeydew, kiwi, gooseberry, watermelon, peach, lemon, grape, nut, boysenberry, lime, plum, blueberry, nectarine, cherry, pickle, papaya, coconut, squash, black raspberry, pear, guava, pomegranate, mango, tomato, gourd. According to the list, kiwi is present. According to the list, dragon fruit is absent. According to the list, peach is ",present,present,peach,4,fruits
"Following is a list that contains a number of fruits. After the list, a fruit will be judged as either present or absent in the list. If the list contains the fruit, answer with present. If the list does not contain the fruit, answer with absent. The list of fruits is: cranberry, honeydew, kiwi, gooseberry, watermelon, peach, lemon, grape, nut, boysenberry, lime, plum, blueberry, nectarine, cherry, pickle, papaya, coconut, squash, black raspberry, pear, guava, pomegranate, mango, tomato, gourd. According to the list, kiwi is present. According to the list, dragon fruit is absent. According to the list, pear is ",present,present,pear,5,fruits
"Following is a list that contains a number of fruits. After the list, a fruit will be judged as either present or absent in the list. If the list contains the fruit, answer with present. If the list does not contain the fruit, answer with absent. The list of fruits is: cranberry, honeydew, kiwi, gooseberry, watermelon, peach, lemon, grape, nut, boysenberry, lime, plum, blueberry, nectarine, cherry, pickle, papaya, coconut, squash, black raspberry, pear, guava, pomegranate, mango, tomato, gourd. According to the list, kiwi is present. According to the list, dragon fruit is absent. According to the list, apricot is ",present,absent,apricot,6,fruits
"Following is a list that contains a number of fruits. After the list, a fruit will be judged as either present or absent in the list. If the list contains the fruit, answer with present. If the list does not contain the fruit, answer with absent. The list of fruits is: cranberry, honeydew, kiwi, gooseberry, watermelon, peach, lemon, grape, nut, boysenberry, lime, plum, blueberry, nectarine, cherry, pickle, papaya, coconut, squash, black raspberry, pear, guava, pomegranate, mango, tomato, gourd. According to the list, kiwi is present. According to the list, dragon fruit is absent. According to the list, tangerine is ",present,absent,tangerine,7,fruits
"Following is a list that contains a number of fruits. After the list, a fruit will be judged as either present or absent in the list. If the list contains the fruit, answer with present. If the list does not contain the fruit, answer with absent. The list of fruits is: cranberry, honeydew, kiwi, gooseberry, watermelon, peach, lemon, grape, nut, boysenberry, lime, plum, blueberry, nectarine, cherry, pickle, papaya, coconut, squash, black raspberry, pear, guava, pomegranate, mango, tomato, gourd. According to the list, kiwi is present. According to the list, dragon fruit is absent. According to the list, plum is ",present,present,plum,8,fruits
"Following is a list that contains a number of fruits. After the list, a fruit will be judged as either present or absent in the list. If the list contains the fruit, answer with present. If the list does not contain the fruit, answer with absent. The list of fruits is: cranberry, honeydew, kiwi, gooseberry, watermelon, peach, lemon, grape, nut, boysenberry, lime, plum, blueberry, nectarine, cherry, pickle, papaya, coconut, squash, black raspberry, pear, guava, pomegranate, mango, tomato, gourd. According to the list, kiwi is present. According to the list, dragon fruit is absent. According to the list, grape is ",present,present,grape,9,fruits
"Following is a list that contains a number of fruits. After the list, a fruit will be judged as either present or absent in the list. If the list contains the fruit, answer with present. If the list does not contain the fruit, answer with absent. The list of fruits is: cranberry, honeydew, kiwi, gooseberry, watermelon, peach, lemon, grape, nut, boysenberry, lime, plum, blueberry, nectarine, cherry, pickle, papaya, coconut, squash, black raspberry, pear, guava, pomegranate, mango, tomato, gourd. According to the list, kiwi is present. According to the list, dragon fruit is absent. According to the list, nectarine is ",present,present,nectarine,10,fruits
"Following is a list that contains a number of fruits. After the list, a fruit will be judged as either present or absent in the list. If the list contains the fruit, answer with present. If the list does not contain the fruit, answer with absent. The list of fruits is: cranberry, honeydew, kiwi, gooseberry, watermelon, peach, lemon, grape, nut, boysenberry, lime, plum, blueberry, nectarine, cherry, pickle, papaya, coconut, squash, black raspberry, pear, guava, pomegranate, mango, tomato, gourd. According to the list, kiwi is present. According to the list, dragon fruit is absent. According to the list, strawberry is ",present,absent,strawberry,11,fruits
