Preamble,Stimulus,True_Category,Item,Rank,Category
"Following is a list that contains a number of sports. After the list, a sport will be judged as either present or absent in the list. If the list contains the sport, answer with present. If the list does not contain the sport, answer with absent. The list of sports is: surfing, running, cards, rowing, racing, football, boating, camping, croquet, fishing, track, hockey, squash, pole vault, skating, basketball, snowboarding, boxing, sunbathing, gymnastics, pool, wrestling, jump rope, judo, rugby, horseback riding, chess, polo, skiing, sailing. According to the list, snowboarding is present. According to the list, karate is absent. According to the list, football is ",present,present,football,1,sport
"Following is a list that contains a number of sports. After the list, a sport will be judged as either present or absent in the list. If the list contains the sport, answer with present. If the list does not contain the sport, answer with absent. The list of sports is: surfing, running, cards, rowing, racing, football, boating, camping, croquet, fishing, track, hockey, squash, pole vault, skating, basketball, snowboarding, boxing, sunbathing, gymnastics, pool, wrestling, jump rope, judo, rugby, horseback riding, chess, polo, skiing, sailing. According to the list, snowboarding is present. According to the list, karate is absent. According to the list, baseball is ",present,absent,baseball,2,sport
"Following is a list that contains a number of sports. After the list, a sport will be judged as either present or absent in the list. If the list contains the sport, answer with present. If the list does not contain the sport, answer with absent. The list of sports is: surfing, running, cards, rowing, racing, football, boating, camping, croquet, fishing, track, hockey, squash, pole vault, skating, basketball, snowboarding, boxing, sunbathing, gymnastics, pool, wrestling, jump rope, judo, rugby, horseback riding, chess, polo, skiing, sailing. According to the list, snowboarding is present. According to the list, karate is absent. According to the list, basketball is ",present,present,basketball,3,sport
"Following is a list that contains a number of sports. After the list, a sport will be judged as either present or absent in the list. If the list contains the sport, answer with present. If the list does not contain the sport, answer with absent. The list of sports is: surfing, running, cards, rowing, racing, football, boating, camping, croquet, fishing, track, hockey, squash, pole vault, skating, basketball, snowboarding, boxing, sunbathing, gymnastics, pool, wrestling, jump rope, judo, rugby, horseback riding, chess, polo, skiing, sailing. According to the list, snowboarding is present. According to the list, karate is absent. According to the list, tennis is ",present,absent,tennis,4,sport
"Following is a list that contains a number of sports. After the list, a sport will be judged as either present or absent in the list. If the list contains the sport, answer with present. If the list does not contain the sport, answer with absent. The list of sports is: surfing, running, cards, rowing, racing, football, boating, camping, croquet, fishing, track, hockey, squash, pole vault, skating, basketball, snowboarding, boxing, sunbathing, gymnastics, pool, wrestling, jump rope, judo, rugby, horseback riding, chess, polo, skiing, sailing. According to the list, snowboarding is present. According to the list, karate is absent. According to the list, softball is ",present,absent,softball,5,sport
"Following is a list that contains a number of sports. After the list, a sport will be judged as either present or absent in the list. If the list contains the sport, answer with present. If the list does not contain the sport, answer with absent. The list of sports is: surfing, running, cards, rowing, racing, football, boating, camping, croquet, fishing, track, hockey, squash, pole vault, skating, basketball, snowboarding, boxing, sunbathing, gymnastics, pool, wrestling, jump rope, judo, rugby, horseback riding, chess, polo, skiing, sailing. According to the list, snowboarding is present. According to the list, karate is absent. According to the list, canoeing is ",present,absent,canoeing,6,sport
"Following is a list that contains a number of sports. After the list, a sport will be judged as either present or absent in the list. If the list contains the sport, answer with present. If the list does not contain the sport, answer with absent. The list of sports is: surfing, running, cards, rowing, racing, football, boating, camping, croquet, fishing, track, hockey, squash, pole vault, skating, basketball, snowboarding, boxing, sunbathing, gymnastics, pool, wrestling, jump rope, judo, rugby, horseback riding, chess, polo, skiing, sailing. According to the list, snowboarding is present. According to the list, karate is absent. According to the list, handball is ",present,absent,handball,7,sport
"Following is a list that contains a number of sports. After the list, a sport will be judged as either present or absent in the list. If the list contains the sport, answer with present. If the list does not contain the sport, answer with absent. The list of sports is: surfing, running, cards, rowing, racing, football, boating, camping, croquet, fishing, track, hockey, squash, pole vault, skating, basketball, snowboarding, boxing, sunbathing, gymnastics, pool, wrestling, jump rope, judo, rugby, horseback riding, chess, polo, skiing, sailing. According to the list, snowboarding is present. According to the list, karate is absent. According to the list, rugby is ",present,present,rugby,8,sport
"Following is a list that contains a number of sports. After the list, a sport will be judged as either present or absent in the list. If the list contains the sport, answer with present. If the list does not contain the sport, answer with absent. The list of sports is: surfing, running, cards, rowing, racing, football, boating, camping, croquet, fishing, track, hockey, squash, pole vault, skating, basketball, snowboarding, boxing, sunbathing, gymnastics, pool, wrestling, jump rope, judo, rugby, horseback riding, chess, polo, skiing, sailing. According to the list, snowboarding is present. According to the list, karate is absent. According to the list, hockey is ",present,present,hockey,9,sport
"Following is a list that contains a number of sports. After the list, a sport will be judged as either present or absent in the list. If the list contains the sport, answer with present. If the list does not contain the sport, answer with absent. The list of sports is: surfing, running, cards, rowing, racing, football, boating, camping, croquet, fishing, track, hockey, squash, pole vault, skating, basketball, snowboarding, boxing, sunbathing, gymnastics, pool, wrestling, jump rope, judo, rugby, horseback riding, chess, polo, skiing, sailing. According to the list, snowboarding is present. According to the list, karate is absent. According to the list, ice hockey is ",present,absent,ice hockey,10,sport
"Following is a list that contains a number of sports. After the list, a sport will be judged as either present or absent in the list. If the list contains the sport, answer with present. If the list does not contain the sport, answer with absent. The list of sports is: surfing, running, cards, rowing, racing, football, boating, camping, croquet, fishing, track, hockey, squash, pole vault, skating, basketball, snowboarding, boxing, sunbathing, gymnastics, pool, wrestling, jump rope, judo, rugby, horseback riding, chess, polo, skiing, sailing. According to the list, snowboarding is present. According to the list, karate is absent. According to the list, swimming is ",present,absent,swimming,11,sport
"Following is a list that contains a number of sports. After the list, a sport will be judged as either present or absent in the list. If the list contains the sport, answer with present. If the list does not contain the sport, answer with absent. The list of sports is: surfing, running, cards, rowing, racing, football, boating, camping, croquet, fishing, track, hockey, squash, pole vault, skating, basketball, snowboarding, boxing, sunbathing, gymnastics, pool, wrestling, jump rope, judo, rugby, horseback riding, chess, polo, skiing, sailing. According to the list, snowboarding is present. According to the list, karate is absent. According to the list, track is ",present,present,track,12,sport
"Following is a list that contains a number of sports. After the list, a sport will be judged as either present or absent in the list. If the list contains the sport, answer with present. If the list does not contain the sport, answer with absent. The list of sports is: surfing, running, cards, rowing, racing, football, boating, camping, croquet, fishing, track, hockey, squash, pole vault, skating, basketball, snowboarding, boxing, sunbathing, gymnastics, pool, wrestling, jump rope, judo, rugby, horseback riding, chess, polo, skiing, sailing. According to the list, snowboarding is present. According to the list, karate is absent. According to the list, boxing is ",present,present,boxing,13,sport
"Following is a list that contains a number of sports. After the list, a sport will be judged as either present or absent in the list. If the list contains the sport, answer with present. If the list does not contain the sport, answer with absent. The list of sports is: surfing, running, cards, rowing, racing, football, boating, camping, croquet, fishing, track, hockey, squash, pole vault, skating, basketball, snowboarding, boxing, sunbathing, gymnastics, pool, wrestling, jump rope, judo, rugby, horseback riding, chess, polo, skiing, sailing. According to the list, snowboarding is present. According to the list, karate is absent. According to the list, volleyball is ",present,absent,volleyball,14,sport
"Following is a list that contains a number of sports. After the list, a sport will be judged as either present or absent in the list. If the list contains the sport, answer with present. If the list does not contain the sport, answer with absent. The list of sports is: surfing, running, cards, rowing, racing, football, boating, camping, croquet, fishing, track, hockey, squash, pole vault, skating, basketball, snowboarding, boxing, sunbathing, gymnastics, pool, wrestling, jump rope, judo, rugby, horseback riding, chess, polo, skiing, sailing. According to the list, snowboarding is present. According to the list, karate is absent. According to the list, lacrosse is ",present,absent,lacrosse,15,sport
"Following is a list that contains a number of sports. After the list, a sport will be judged as either present or absent in the list. If the list contains the sport, answer with present. If the list does not contain the sport, answer with absent. The list of sports is: surfing, running, cards, rowing, racing, football, boating, camping, croquet, fishing, track, hockey, squash, pole vault, skating, basketball, snowboarding, boxing, sunbathing, gymnastics, pool, wrestling, jump rope, judo, rugby, horseback riding, chess, polo, skiing, sailing. According to the list, snowboarding is present. According to the list, karate is absent. According to the list, skiing is ",present,present,skiing,16,sport
"Following is a list that contains a number of sports. After the list, a sport will be judged as either present or absent in the list. If the list contains the sport, answer with present. If the list does not contain the sport, answer with absent. The list of sports is: surfing, running, cards, rowing, racing, football, boating, camping, croquet, fishing, track, hockey, squash, pole vault, skating, basketball, snowboarding, boxing, sunbathing, gymnastics, pool, wrestling, jump rope, judo, rugby, horseback riding, chess, polo, skiing, sailing. According to the list, snowboarding is present. According to the list, karate is absent. According to the list, golf is ",present,absent,golf,17,sport
